"Kiến trúc nội ngoại thất theo phong thủy","SC","","","Thanh Hóa","2008","174tr; 24cm","","K305TR","Tiếng Việt","TP.Thanh Hóa","hh728","Những điều quan trọng cần biết trong phong thủy khi xây dựng nhà,những chi tiết liê quan đến căn nhà","","","<Thanh Long>","<Kiến trúc>","<D.3195.TK><M.3194.TK>"
"Giáo trình quản trị nhân lực","SC","","","ĐH Kinh Tế Quốc Dân","2007","338tr; 24cm","Trường Đại học Kinh tế Quốc dân- Khoa Kinh tế và Quản trị nguồn nhân lực-Bộ môn Quản trị nhân lực","GI108TR","Tiếng Việt","H","ggb658.307 1","Cung cấp các kiến thức cơ bản và có hệ thống về quản trị nhân lực trong các hệ thống","","","<Nguyễn Vân Điềm><Nguyễn Ngọc Quân>","<Kinh tế, Quản trị>","<D.3199.TK><M.3196.TK><M.3197.TK><M.3198.TK><C.3200.TK>"
"Văn hóa các dân tộc Việt Nam","SC","","","Thanh Niên","2008","311tr; 20.5cm","","V115H","Tiếng Việt","H","dda306.597","Khái quát về truyền thống Văn hóa của các dân tộc Việt Nam","","","<Trần Ngọc Bình>","<Văn hóa học>","<D.3204.TK><M.3201.TK><M.3202.TK><M.3203.TK><C.3205.TK>"
"Truyện ngắn 198X","SC","","","Hội Nhà Văn","2008","214tr; 20cm","","TR527NG","Tiếng Việt","H","ii895.922 3","Tuyển tập các truyện ngắn của các nhà văn 8X","","","<Nhiều tác giả>","<Văn học>","<D.3207.TK><M.3206.TK>"
"Giở trang sử Việt","SC","","","ĐH Quốc Gia Hà Nội","2008","196tr; 20.5cm","","GI460TR","Tiếng Việt","H","kk959.7","Tập hợp một số bài viết ,những giai thoại thú vị gắn liền với các nhân vật, sự kiện trong lịch sử Việt Nam","","","<Lê Thái Dũng>","<Lịch sử>","<D.3210.TK><M.3208.TK><M.3209.TK>"
"Truyện ngắn 1200 chữ : những truyện ngắn đoạt giải","SC","Tái bản lần thứ nhất","","","2008","187tr; 20.5cm","Tủ sách tuổi trẻ","TR527NG","Tiếng Việt","Tp.HCM","ii895.922 3","Tập hợp 1số truyện ngắn 1200 chữ đoạt giải","","","<Nhiều tác giả>","<Văn học>","<D.3212.TK><M.3211.TK>"
"Ca dao Việt Nam về tình yêu đôi lứa","SC","","","Thanh Niên","2008","159tr; 19cm","","C100D","Tiếng Việt","Tp.HCM","ddc398.859 7","Tuyển chọn các bài ca dao Việt Nam về tình yêu đôi lứa","","","<Lan Hương>","<Văn học dân gian>","<D.3215.TK><M.3213.TK><M.3214.TK><C.3216.TK>"
"Trí tuệ Phương Đông ngàn năm","SC","","","ĐH Quốc Gia Hà Nội","2008","629tr; 20.5cm","","TR300T","Tiếng Việt","H","dda306.5","Tìm hiểu văn hóa Phương Đông từ việc phân tích các vấn đề như: tu dưỡng, rèn luyện đạo đức,đối nhân xử thế,kết bạn,tình yêu..","","","<Trần Giang Sơn>","<Văn hóa học>","<D.3218.TK><M.3217.TK><C.3219.TK>"
"Almanach Người mẹ và phái đẹp","SC","","","Văn Hóa Thông Tin","2008","2304tr; 31.5cm","","A100L","Tiếng Việt","H","aa030.597","Bách khoa tổng quát về Người mẹ- Phái đẹp Việt Nam","","","<Liên hiệp các hội khoa học và kỹ thuật Việt Nam - Trung tâm dịch thuật dịch vụ văn hóa và khoa học- >","<Bách khoa ,Phụ nữ>","<D.3220.TK>"
"Tại sao? côn trùng - T1: Hình dáng côn trùng","SC","","","Tổng Hợp Đồng Nai","2007","38tr; 27cm","Bách Khoa Toàn Thư  kiến thức khoa học phổ thông dành cho Thiếu niên","T103S","Tiếng Việt","Đồng Nai","aa030","tổng hợp kiến thức về hình dáng côn trùng","","","<Nhân văn- Tri thức VIệt>","<Bách khoa, Động vật>","<M.3221.TK>"
"Tại sao? Côn trùng - T2: Sinh trưởng của côn trùng","SC","","","Tổng Hợp Đồng Nai","2007","47tr; 27cm","","T103S","Tiếng Việt","Đồng Nai","aa030","Kiến thứctổng hợp về sự sinh trưởng của côn trùng","","","","<Bách Khoa><Động vật>","<M.3222.TK>"
"Tại sao? Côn trùng - T.3: Sinh thái của Côn trùng","SC","","","Tổng Hợp Đồng Nai","2007","83tr; 27cm","","T103S","Tiếng Việt","Đồng Nai","aa030","Môi trường sinh thái của các loại côn trùng","","","<Nhân văn - Tri thức Việt>","<Bách Khoa><Động vật>","<M.3223.TK>"
"Gia đình học","SC","","","Lý Luận Chính Trị","2007","686tr; 24cm","","GI100Đ","Tiếng Việt","H","dda306.85","Nghiên cứu về Gia đình như một môt khoa học","","","<Đặng Cảnh Khanh><Lê Ngọc Quý>","<Văn hóa><Gia đình>","<D.3225.TK><M.3224.TK>"
